artist,auction_house,auction_result,date_sold,dating,img available,inscribed,kind,lot_number,price_estimated,signed,size,stamped,title,with_premium
" 
        Friedrich Preller D A (1804-1878) Germany",Auctionata - United States of America: New York,Unsold,05-18-2015,N/A,y,No,Ink on paper,127,"2,400 - 3,000 EUR",Yes,12.05 x 16.54 in (30.61 x 42.01 cm),No,At the Forest Lake,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Bassenge - Germany: Berlin-Grunewald,"1,600 EUR",05-30-2014,N/A,y,No,Pencil ,6456,750 EUR,No,6.73 x 11.73 in (17.09 x 29.79 cm),No,Blick von Posilippo über den Golf von Neapel,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Bassenge - Germany: Berlin-Grunewald,160 EUR,05-29-2014,N/A,y,No,Etching ,5509,180 EUR,No,9.84 x 8.15 in (24.99 x 20.70 cm),No,Bildnis des Botanikers Prof. Dietrich,No
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,"23,750 EUR",05-28-2014,1838,y,No,Oil on paper,116,"8,000 - 12,000 EUR",Yes,11.97 x 16.85 in (30.40 x 42.80 cm),No,Brandung an der Felsenküste.,Yes
" 
        Friedrich Preller D A (1804-1878) Germany",Lempertz - Germany: Cologne,Unsold,05-17-2014,N/A,y,Yes,Watercolor on paper,1521,"1,800 - 2,000 EUR",No,8.07 x 11.02 in (20.50 x 27.99 cm),No,SECTION OF A LANDSCAPE NEAR OLEVANO,No
" 
        Friedrich Preller D A (1804-1878) Germany",Münchener Kunstauktionshaus Neumeister - Germany: München,300 EUR,01-29-2014,N/A,y,No,Pencil ,764,200 EUR,No,6.30 x 5.51 in (16.00 x 14.00 cm),No,Zwei Künstler auf Wanderung,No
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,625 EUR,11-27-2013,N/A,n,No,Unknown ,121,500 - 700 EUR,No,5.43 x 14.57 in (13.79 x 37.01 cm),No,Szene an einer Brücke in der Campagna,No
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,"11,250 EUR",11-27-2013,N/A,n,No,Oil on canvas,161,"9,000 - 12,000 EUR",No,9.29 x 12.87 in (23.60 x 32.69 cm),No,Landschaft bei Weimar,Yes
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,"6,875 EUR",11-27-2013,N/A,n,No,Oil on wood,165,"4,000 - 6,000 EUR",No,9.06 x 5.59 in (23.01 x 14.20 cm),No,Drei Szenen aus der Odyssee,Yes
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,"7,500 EUR",11-27-2013,N/A,n,No,Oil on canvas,175,"6,000 - 8,000 EUR",No,33.46 x 44.49 in (84.99 x 113.00 cm),No,Torre di Quinto,Yes
" 
        Friedrich Preller D A (1804-1878) Germany",Lempertz - Germany: Cologne,"2,070 EUR",11-16-2013,N/A,y,No,Pencil ,1515,"1,500 - 2,000 EUR",No,5.31 x 8.66 in (13.49 x 22.00 cm),No,SHIPS WITH WOOD IN THE HARBOUR OF DESENZANO,No
" 
        Friedrich Preller D A (1804-1878) Germany",Lacy Scott & Knight - United Kingdom: Suffolk,Unsold,12-15-2012,N/A,y,No,Oil on canvas,671,400 - 600 GBP,Yes,47.24 x 65.75 in (119.99 x 167.00 cm),No,Bacchanalian landscape scene,No
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,"3,660 EUR",11-18-2012,1870,y,No,Pencil on paper,122,"900 - 1,200 EUR",Yes,5.67 x 9.06 in (14.40 x 23.01 cm),No,LANDSCHAFT MIT FRAU UND ZWEI KINDERN („STÜTZERBACH RABENTHAL“),Yes
" 
        Friedrich Preller D A (1804-1878) Germany",Villa Grisebach Auktionen - Germany: Berlin,"1,830 EUR",11-18-2012,N/A,y,No,"Pen washed, over pencil on laid paper.",151,"1,200 - 1,400 EUR",No,6.85 x 10.39 in (17.40 x 26.39 cm),No,KAIN UND ABEL,Yes
" 
        Friedrich Preller D A (1804-1878) Germany",Rosebery´s - United Kingdom: London,Unsold,09-18-2012,N/A,y,No,Pen ink,796,N/A,Yes,14.96 x 10.63 in (38.00 x 27.00 cm),No,The Vision of the Seven Candlesticks from the Apocalypse or the Revelations of St John,No
" 
        Friedrich Preller D A (1804-1878) Germany",VAN HAM Fine Art Auctions - Germany: Cologne,330 EUR,02-02-2011,N/A,y,No,Watercolor on paper,1175,400 EUR,No,9.61 x 5.63 in (24.41 x 14.30 cm),No,Leukothea erscheint dem schiffbrüchigen Odysseus,No
" 
        Friedrich Preller D A (1804-1878) Germany",Lempertz - Germany: Cologne,Unsold,05-15-2010,N/A,y,No,Pencil ,1858,400 - 500 EUR,No,3.54 x 6.10 in (8.99 x 15.49 cm),No,JUNGER HIRTE MIT ZIEGEN,No
" 
        Friedrich Preller D A (1804-1878) Germany",Lempertz - Germany: Cologne,"2,100 EUR",05-15-2010,N/A,y,No,Pen and brush,1859,"1,800 - 2,000 EUR",No,13.19 x 16.93 in (33.50 x 43.00 cm),No,SÜDLICHE LANDSCHAFT MIT BRÜCKE UND STAFFAGEFIGUREN,No
" 
        Friedrich Preller D A (1804-1878) Germany",Kunsthaus Lempertz - Germany: Cologne,Unsold,11-21-2009,1823,y,No,Watercolor ,1256,"900 - 1,200 EUR",No,11.02 x 16.73 in (27.99 x 42.49 cm),No,SCHLOSS SCHIERITZ BEI MEISSEN,No
" 
        Friedrich Preller D A (1804-1878) Germany",Kunsthaus Lempertz - Germany: Cologne,Unsold,11-21-2009,N/A,y,Yes,Pencil ,1257,"800 - 1,000 EUR",No,4.88 x 7.28 in (12.40 x 18.49 cm),No,ORTI SALUSTIANI,No
" 
        Friedrich Preller D A (1804-1878) Germany",Galerie Bassenge - Germany: Berlin-Grunewald,"2,900 EUR",11-28-2008,N/A,y,No,Brush ,6391,"2,500 EUR",No,15.16 x 21.34 in (38.51 x 54.20 cm),No,Kentauren an einem Waldweiher,No
